Category,Layer,Index1,Index2,Value
actor_W1,Layer1,8,24,-0.0481243
actor_W1,Layer1,8,25,-0.0791686
actor_W1,Layer1,8,26,-0.161523
actor_W1,Layer1,8,27,0.0399147
actor_W1,Layer1,8,28,0.186352
actor_W1,Layer1,8,29,-0.0282458
actor_W1,Layer1,8,30,-0.00754193
actor_W1,Layer1,8,31,0.199709
actor_W1,Layer1,8,32,-0.214406
actor_W1,Layer1,8,33,-0.152357
actor_W1,Layer1,8,34,-0.0547227
actor_W1,Layer1,8,35,0.184605
actor_W1,Layer1,9,0,-0.0344838
actor_W1,Layer1,9,1,0.125037
actor_W1,Layer1,9,2,-0.193821
actor_W1,Layer1,9,3,-0.176123
actor_W1,Layer1,9,4,-0.179535
actor_W1,Layer1,9,5,0.14967
actor_W1,Layer1,9,6,0.053561
actor_W1,Layer1,9,7,0.0882982
actor_W1,Layer1,9,8,0.0160413
actor_W1,Layer1,9,9,-0.149762
actor_W1,Layer1,9,10,-0.181776
actor_W1,Layer1,9,11,-0.0586163
actor_W1,Layer1,9,12,0.242319
actor_W1,Layer1,9,13,-0.210897
actor_W1,Layer1,9,14,-0.0558002
actor_W1,Layer1,9,15,-0.150953
actor_W1,Layer1,9,16,0.211388
actor_W1,Layer1,9,17,0.0815985
actor_W1,Layer1,9,18,0.0828315
actor_W1,Layer1,9,19,0.207795
actor_W1,Layer1,9,20,0.049295
actor_W1,Layer1,9,21,0.205663
actor_W1,Layer1,9,22,-0.227854
actor_W1,Layer1,9,23,-0.113504
actor_W1,Layer1,9,24,-0.0178844
actor_W1,Layer1,9,25,-0.155992
actor_W1,Layer1,9,26,0.19136
actor_W1,Layer1,9,27,0.0909404
actor_W1,Layer1,9,28,-0.0149975
actor_W1,Layer1,9,29,-0.0750352
actor_W1,Layer1,9,30,0.138653
actor_W1,Layer1,9,31,0.0854725
actor_W1,Layer1,9,32,-0.172585
actor_W1,Layer1,9,33,-0.187823
actor_W1,Layer1,9,34,-0.118461
actor_W1,Layer1,9,35,-0.13176
actor_W1,Layer1,10,0,0.241325
actor_W1,Layer1,10,1,-0.113057
actor_W1,Layer1,10,2,0.184344
actor_W1,Layer1,10,3,-0.203069
actor_W1,Layer1,10,4,-0.0835708
actor_W1,Layer1,10,5,0.164949
actor_W1,Layer1,10,6,0.0933882
actor_W1,Layer1,10,7,0.18652
actor_W1,Layer1,10,8,-0.0242095
actor_W1,Layer1,10,9,0.118335
actor_W1,Layer1,10,10,-0.122833
actor_W1,Layer1,10,11,-0.00966394
actor_W1,Layer1,10,12,-0.191447
actor_W1,Layer1,10,13,-0.0710082
actor_W1,Layer1,10,14,-0.0856604
actor_W1,Layer1,10,15,-0.141606
actor_W1,Layer1,10,16,0.120735
actor_W1,Layer1,10,17,-0.160002
actor_W1,Layer1,10,18,0.114833
actor_W1,Layer1,10,19,0.09805
actor_W1,Layer1,10,20,-0.116905
actor_W1,Layer1,10,21,0.0470557
actor_W1,Layer1,10,22,-0.0068979
actor_W1,Layer1,10,23,-0.0781865
actor_W1,Layer1,10,24,-0.236677
actor_W1,Layer1,10,25,0.093924
actor_W1,Layer1,10,26,-0.230652
actor_W1,Layer1,10,27,0.1787
actor_W1,Layer1,10,28,-0.0260702
actor_W1,Layer1,10,29,0.157617
actor_W1,Layer1,10,30,0.232626
actor_W1,Layer1,10,31,-0.112892
actor_W1,Layer1,10,32,-0.210308
actor_W1,Layer1,10,33,-0.115853
actor_W1,Layer1,10,34,-0.0894802
actor_W1,Layer1,10,35,0.0957694
actor_W1,Layer1,11,0,-0.00502381
actor_W1,Layer1,11,1,0.0315307
actor_W1,Layer1,11,2,0.0912299
actor_W1,Layer1,11,3,-0.208533
actor_W1,Layer1,11,4,-0.142443
actor_W1,Layer1,11,5,-0.0858904
actor_W1,Layer1,11,6,-0.20459
